statistical parser	TechTool	1.00	0.00	0.00	0.00
phrasal reordering	TechTool	0.94	0.01	0.00	0.05
subcategorization category	Linguistics	0.08	0.73	0.14	0.05
regularization framework	TechTool	0.99	0.00	0.00	0.00
caseframe network	TechTool	0.63	0.01	0.01	0.35
Japanese patent claim sentence	Linguistics	0.01	0.88	0.07	0.03
noun prediction	TechTool	0.59	0.27	0.00	0.14
muc-5 joint-venture domain	Linguistics	0.17	0.59	0.20	0.04
lfg parsing	TechTool	0.98	0.00	0.01	0.01
transformation scheme	TechTool	0.99	0.00	0.01	0.00
concurrency	TechTool	0.49	0.22	0.26	0.02
best-first clustering coreference	TechTool	0.99	0.01	0.00	0.01
sequential rule application	TechTool	0.90	0.00	0.10	0.00
interlanguage level models	DSMMM	0.01	0.00	0.04	0.96
quantifier logic	TechTool	0.97	0.01	0.00	0.02
record linking	TechTool	0.53	0.00	0.13	0.34
comparative study	TechTool	0.59	0.09	0.32	0.00
atis corpora	Linguistics	0.01	0.98	0.00	0.01
linguistic knowledge customization	TechTool	0.66	0.03	0.31	0.00
lambek calculus	TechTool	0.95	0.01	0.04	0.00
learning techniques	TechTool	0.92	0.00	0.08	0.00
data-intensive knowledge management	TechTool	0.92	0.01	0.06	0.00
tree-adjoining grammar parsing	TechTool	0.98	0.01	0.00	0.01
mixed initiative interaction	TechTool	0.81	0.00	0.19	0.00
conjugate gradient search	TechTool	0.97	0.00	0.01	0.02
entity-oriented parser	TechTool	0.94	0.01	0.04	0.01
feature selection and extraction	TechTool	0.99	0.00	0.00	0.01
word detection	TechTool	0.95	0.00	0.00	0.04
lexical choice process	other	0.03	0.00	0.97	0.00
auditory-type modeling	TechTool	0.91	0.00	0.06	0.02
syntactic mismatch	TechTool	0.76	0.00	0.18	0.06
coherence model	DSMMM	0.07	0.00	0.00	0.93
parsing scheme	TechTool	0.99	0.00	0.01	0.01
identification task	TechTool	0.69	0.00	0.31	0.00
long terminal repeat	Linguistics	0.08	0.47	0.39	0.06
tile word graph	DSMMM	0.15	0.05	0.03	0.76
electronic mail	Linguistics	0.41	0.48	0.11	0.00
english corpus	Linguistics	0.00	0.98	0.00	0.01
chinese lexical	Linguistics	0.09	0.88	0.03	0.00
tree path	DSMMM	0.04	0.01	0.04	0.92
corpus-based training	TechTool	0.67	0.30	0.00	0.02
semantic computation	TechTool	0.69	0.00	0.08	0.23
verb attachment	Linguistics	0.03	0.96	0.00	0.01
lexemic syntax	TechTool	0.46	0.09	0.22	0.23
functional evaluation	TechTool	0.79	0.00	0.00	0.20
document collections	Linguistics	0.02	0.87	0.09	0.03
entity recognition	TechTool	0.90	0.00	0.08	0.02
document representation	TechTool	0.80	0.01	0.03	0.15
compound analysis	TechTool	0.90	0.09	0.01	0.01
sense identification	TechTool	0.98	0.00	0.02	0.00
feature selection criterion	TechTool	0.97	0.00	0.01	0.02
expectation maximisation	TechTool	0.69	0.00	0.27	0.05
knowledge-based categorization	TechTool	0.94	0.01	0.05	0.00
natural dialogue	Linguistics	0.27	0.41	0.32	0.00
japanese corpus	Linguistics	0.00	0.99	0.00	0.01
binary classiflcation	TechTool	0.95	0.01	0.04	0.00
segmentation dictionary	Linguistics	0.31	0.69	0.00	0.00
pattern recognition	TechTool	0.95	0.00	0.03	0.02
feedback selection	TechTool	0.86	0.00	0.14	0.00
real-time translation	TechTool	0.80	0.01	0.18	0.01
automatic speech processing	TechTool	0.99	0.00	0.01	0.00
muc task	other	0.01	0.00	0.98	0.01
symbolie learning	other	0.23	0.17	0.42	0.18
communicative goals	other	0.01	0.01	0.98	0.00
interactive clarification	TechTool	0.78	0.00	0.22	0.00
resource sensitive logic	TechTool	0.77	0.00	0.23	0.00
market basket analysis	TechTool	0.80	0.18	0.02	0.01
udrs construction	TechTool	0.94	0.01	0.05	0.01
shortest-path extraction	TechTool	0.93	0.00	0.00	0.07
embedded programming	TechTool	0.95	0.00	0.05	0.00
main clause	TechTool	0.49	0.42	0.10	0.00
discovery system	TechTool	1.00	0.00	0.00	0.00
beamsearch	TechTool	0.61	0.12	0.14	0.13
finite-state transducer inference	TechTool	0.95	0.00	0.05	0.00
segmental neural nets	TechTool	0.90	0.00	0.04	0.05
rasp-based feature extraction	TechTool	0.98	0.00	0.00	0.02
literal type	other	0.19	0.34	0.36	0.10
constraint satisfaction \	TechTool	0.88	0.00	0.00	0.12
morphology analysis	TechTool	0.78	0.08	0.14	0.00
thematic structure	Linguistics	0.05	0.80	0.08	0.07
lambda conversion	TechTool	0.91	0.00	0.08	0.00
homophone	Linguistics	0.16	0.58	0.19	0.07
language parsing and generation	TechTool	0.78	0.00	0.18	0.04
nominalization	TechTool	0.47	0.22	0.10	0.22
supervised learning schema	TechTool	0.98	0.00	0.02	0.00
probability recomputation	DSMMM	0.02	0.01	0.00	0.97
basenp chunking	TechTool	0.92	0.07	0.01	0.00
genus term	Linguistics	0.01	0.53	0.03	0.43
flat classification	TechTool	0.98	0.01	0.00	0.01
knowledge-based machine translation	TechTool	0.91	0.01	0.08	0.01
maximum entropy approach	TechTool	0.95	0.00	0.00	0.05
heuristic parse	TechTool	0.83	0.00	0.00	0.16
mean-shift region segmentation	TechTool	0.73	0.00	0.02	0.25
concept-based analysis system	TechTool	0.98	0.01	0.00	0.01
top-down parsing	TechTool	0.83	0.00	0.00	0.17
top-down algorithm	TechTool	0.87	0.00	0.01	0.12
multi-lingual information summarization	TechTool	0.91	0.01	0.07	0.00
baum-welch forward-backward training	TechTool	0.98	0.00	0.01	0.00
text-tospeech	TechTool	0.87	0.08	0.04	0.01
out-of-vocabulary word recognition	TechTool	0.54	0.39	0.00	0.07
pronominal anaphora resolution module	TechTool	0.95	0.00	0.04	0.00
skeletal syntactic structure	Linguistics	0.33	0.45	0.10	0.12
network graph	DSMMM	0.22	0.00	0.00	0.78
rule-based translation system	TechTool	0.98	0.00	0.01	0.01
cross-document coreference resolution	TechTool	0.91	0.08	0.01	0.00
poisson distribution	DSMMM	0.01	0.04	0.01	0.95
finite-state tagging	TechTool	0.90	0.03	0.07	0.00
top-down classification	TechTool	0.88	0.00	0.01	0.11
exhaustive parsing	TechTool	0.93	0.00	0.06	0.01
iterative design	TechTool	0.92	0.00	0.08	0.00
treebank transduction	TechTool	0.83	0.11	0.05	0.01
object oriented programming	TechTool	0.57	0.00	0.41	0.02
one-anaphora resolution	TechTool	0.79	0.20	0.00	0.00
semantic index	TechTool	0.74	0.02	0.08	0.16
multilingual query interpretation	TechTool	0.94	0.01	0.04	0.02
fragmenter module	TechTool	0.91	0.00	0.08	0.00
modern standard arabic	Linguistics	0.08	0.88	0.03	0.00
shift-reduce parser	TechTool	0.91	0.00	0.03	0.07
me modeling framework	TechTool	0.99	0.00	0.01	0.00
unconstrained optimization	TechTool	0.97	0.00	0.01	0.02
annotated newspaper text	Linguistics	0.00	0.89	0.11	0.00
perceptual map	DSMMM	0.12	0.01	0.28	0.59
word sense discovery	TechTool	0.92	0.05	0.03	0.00
surface form restoration	TechTool	0.50	0.00	0.45	0.04
phoneme recognizer	TechTool	0.91	0.00	0.08	0.01
closed-set text-independent speaker identification	TechTool	0.92	0.00	0.07	0.00
qa research	other	0.42	0.00	0.58	0.00
spoken lecture processing	TechTool	0.96	0.01	0.02	0.00
concept abstraction	TechTool	0.95	0.00	0.03	0.02
learning morpho-lexical probabilities	other	0.02	0.00	0.77	0.21
aggregation strategy	TechTool	0.89	0.00	0.11	0.00
language understandin g	Linguistics	0.19	0.73	0.07	0.01
hearstpatternsforinstance-classrelation	TechTool	0.52	0.17	0.22	0.08
scalar irrtplieature	TechTool	0.55	0.18	0.17	0.10
encyclopedia text	Linguistics	0.01	0.89	0.10	0.00
hands-on training	TechTool	0.92	0.00	0.01	0.07
ie method	TechTool	0.98	0.00	0.01	0.00
data integration	TechTool	0.66	0.00	0.31	0.04
list detection	TechTool	0.98	0.01	0.01	0.00
syntactic priming	other	0.46	0.00	0.52	0.02
indefinite reference	Linguistics	0.11	0.65	0.23	0.00
dialogue context	other	0.09	0.07	0.82	0.02
constraint-based approach	TechTool	0.98	0.00	0.00	0.02
qa system	TechTool	0.99	0.00	0.01	0.00
basque	Linguistics	0.19	0.61	0.16	0.05
bilingual textalignment	TechTool	0.58	0.18	0.13	0.11
ranking scheme	TechTool	0.91	0.00	0.00	0.09
constraint-acquisition	TechTool	0.99	0.00	0.01	0.00
representation schemata	TechTool	0.96	0.00	0.01	0.03
syntactic transformation	TechTool	0.89	0.00	0.11	0.00
English phrase	Linguistics	0.04	0.93	0.00	0.03
dataprocessing	TechTool	0.61	0.12	0.14	0.13
symbolic manipulation	TechTool	0.95	0.00	0.04	0.01
translation schemata	TechTool	0.75	0.15	0.08	0.02
co-reference resolution	TechTool	0.81	0.04	0.14	0.00
holder agreement	DSMMM	0.01	0.11	0.16	0.73
semantic reranking	TechTool	0.92	0.00	0.02	0.05
word-trie	TechTool	0.46	0.13	0.01	0.40
deductive restructuring	TechTool	0.97	0.00	0.03	0.00
large technical text corpora	Linguistics	0.03	0.94	0.03	0.00
marker selection	TechTool	0.97	0.03	0.00	0.00
quasi-destructive unification	TechTool	0.96	0.00	0.02	0.02
statistical answer pinpointing	TechTool	0.53	0.02	0.29	0.16
tense transposition	TechTool	0.53	0.21	0.25	0.00
pattern generator	TechTool	0.94	0.00	0.00	0.06
linear time algorithm	TechTool	0.96	0.00	0.01	0.03
language generation and understanding	TechTool	0.89	0.00	0.10	0.01
intelligent search	TechTool	0.99	0.00	0.01	0.00
lc parsing algorithm	TechTool	0.97	0.00	0.02	0.01
learning process	other	0.12	0.00	0.88	0.00
sequence matching	TechTool	0.97	0.00	0.02	0.00
translation equivalent	TechTool	0.40	0.37	0.22	0.01
preposition combination	TechTool	0.50	0.49	0.01	0.00
hybrid disambiguation	TechTool	1.00	0.00	0.00	0.00
communication device	TechTool	0.55	0.00	0.45	0.00
candidateranking	TechTool	0.61	0.12	0.14	0.13
cross-language processing	TechTool	0.94	0.00	0.04	0.02
phrase combiner	TechTool	0.84	0.09	0.00	0.07
gene ontology	Linguistics	0.13	0.56	0.28	0.02
genitive form	Linguistics	0.18	0.77	0.05	0.01
hinoki treebank	Linguistics	0.08	0.84	0.06	0.02
lexicologist	other	0.32	0.26	0.35	0.06
semantic role	other	0.16	0.06	0.77	0.00
message selection	TechTool	0.98	0.00	0.01	0.01
scope bearing	Linguistics	0.01	0.53	0.42	0.05
damsl annotation scheme	TechTool	0.95	0.00	0.04	0.00
chinese-english mt	TechTool	0.70	0.26	0.00	0.04
performance enhancing	DSMMM	0.01	0.00	0.01	0.98
raising-verb adjunction	TechTool	0.92	0.07	0.01	0.00
dictionary maintenance	TechTool	0.59	0.37	0.00	0.04
loom knowledge representation	TechTool	0.75	0.00	0.24	0.01
arabic ocr error correction	TechTool	0.94	0.00	0.02	0.04
semantic language modeling	TechTool	0.88	0.00	0.05	0.07
words recognition	TechTool	0.77	0.11	0.06	0.05
instance extraction	TechTool	0.99	0.00	0.00	0.01
grammar-based recognition	TechTool	0.97	0.00	0.01	0.02
honorific genitive case marker	Linguistics	0.43	0.56	0.01	0.01
e-k transliteration model	other	0.23	0.01	0.68	0.08
mediated priming	other	0.43	0.00	0.55	0.03
acoustic signal	DSMMM	0.04	0.00	0.37	0.59
domain-independent text categorization	TechTool	0.69	0.28	0.03	0.00
syntactic conversion	TechTool	0.64	0.00	0.36	0.00
english part-of-speech	TechTool	0.48	0.41	0.10	0.01
statistical parsers	TechTool	0.98	0.01	0.00	0.01
cfs unification	TechTool	0.98	0.00	0.02	0.01
distance extraction	DSMMM	0.32	0.00	0.00	0.68
ranked candidate list	other	0.00	0.15	0.53	0.32
hpsg parse disambiguation	TechTool	0.97	0.01	0.02	0.00
parameter-independent learning	TechTool	0.92	0.00	0.07	0.00
statistics-based alignment	TechTool	0.77	0.00	0.00	0.22
context-free recognition	TechTool	0.93	0.00	0.07	0.00
context understanding	TechTool	0.85	0.00	0.14	0.01
natural language disambiguation	TechTool	0.93	0.01	0.06	0.00
information extraction system	TechTool	0.99	0.00	0.01	0.00
relative frequency	DSMMM	0.00	0.06	0.01	0.93
phrase boundary detection	TechTool	0.99	0.00	0.00	0.01
smt algorithm	TechTool	0.99	0.00	0.01	0.01
phrase level	DSMMM	0.00	0.01	0.05	0.94
relation-sense selection	TechTool	0.96	0.00	0.03	0.00
abbreviations	Linguistics	0.12	0.58	0.26	0.04
question answering and summarization	TechTool	0.85	0.00	0.14	0.00
pronunciation competence	other	0.01	0.01	0.95	0.03
sentence ranking	DSMMM	0.38	0.00	0.01	0.61
component interchangeability	other	0.06	0.00	0.92	0.02
game playing	other	0.15	0.38	0.46	0.00
sgml mark-up	TechTool	0.91	0.07	0.01	0.02
sequence decoding	TechTool	0.92	0.00	0.07	0.00
thesaurus	Linguistics	0.28	0.40	0.27	0.06
citation extraction and analysis	TechTool	0.97	0.00	0.02	0.01
pseudo-clefting	TechTool	0.90	0.02	0.05	0.03
spoken interface control	TechTool	0.88	0.00	0.11	0.01
sls development	TechTool	0.90	0.00	0.10	0.00
covariance matrix ~	TechTool	0.86	0.01	0.07	0.07
natural language programming	TechTool	0.85	0.00	0.15	0.00
annotated corpora	Linguistics	0.00	0.99	0.01	0.00
baseline performance	DSMMM	0.00	0.00	0.01	0.99
conjunction operator	TechTool	0.95	0.05	0.00	0.00
treebank parser	TechTool	0.80	0.19	0.00	0.01
user-initiated clarification	TechTool	0.83	0.01	0.16	0.00
artiiicial intelligence research	TechTool	0.38	0.37	0.25	0.00
n-gram feature selection	TechTool	0.91	0.00	0.01	0.08
bigram training	DSMMM	0.42	0.05	0.00	0.53
word spotting	TechTool	0.80	0.11	0.02	0.07
text summarization and synchronization	TechTool	0.87	0.00	0.12	0.01
principle-based theory	TechTool	0.75	0.01	0.09	0.16
linear function approximation	TechTool	0.79	0.00	0.05	0.16
forward match	TechTool	0.51	0.00	0.00	0.49
yasmet me package	TechTool	0.91	0.05	0.03	0.01
topic detection	TechTool	0.98	0.00	0.01	0.01
non-parametric switching	TechTool	0.76	0.00	0.18	0.06
deterministic parser	TechTool	0.99	0.00	0.00	0.00
key phrase expansion	TechTool	0.96	0.01	0.00	0.03
structured query	TechTool	0.63	0.01	0.34	0.02
narrative understanding	TechTool	0.89	0.05	0.05	0.01
sublanguage extraction	TechTool	0.91	0.09	0.00	0.00
candidate selection	TechTool	0.98	0.00	0.00	0.02
head word selection	TechTool	0.94	0.01	0.03	0.02
sentential conjunction	Linguistics	0.21	0.76	0.03	0.00
thematic cohesion	TechTool	0.46	0.02	0.42	0.10
ontological semantics	Linguistics	0.40	0.48	0.00	0.11
static reordering	TechTool	0.95	0.00	0.01	0.04
string similarity	DSMMM	0.01	0.00	0.02	0.97
phrase boundary heuristics	TechTool	0.98	0.01	0.00	0.00
glos annotation	TechTool	0.84	0.03	0.10	0.03
human\/machine interface	TechTool	0.91	0.00	0.08	0.01
keyphrase finding	TechTool	0.82	0.00	0.16	0.01
tm system	TechTool	0.98	0.01	0.00	0.01
system dialogue act	other	0.16	0.07	0.77	0.00
keyword-based document retrieval	TechTool	0.96	0.00	0.00	0.03
rule-based model	TechTool	0.63	0.00	0.00	0.37
meta language	other	0.28	0.20	0.51	0.01
probability estimation	DSMMM	0.26	0.00	0.00	0.74
acoustic score	DSMMM	0.01	0.00	0.01	0.98
complex word	Linguistics	0.44	0.46	0.08	0.01
hungarian orthography	Linguistics	0.02	0.84	0.13	0.00
tone learning	TechTool	0.87	0.00	0.12	0.01
constraint-grammar system	TechTool	0.97	0.01	0.00	0.02
multilingual natural language processing system	TechTool	0.98	0.01	0.01	0.00
forward-connection	TechTool	0.85	0.00	0.01	0.14
sanskrit syntax	Linguistics	0.15	0.62	0.15	0.08
pruning bigram	TechTool	0.52	0.00	0.00	0.48
sentential parsing	TechTool	0.94	0.00	0.02	0.04
deep analysis	TechTool	0.90	0.02	0.07	0.01
well-formed formula	other	0.26	0.03	0.58	0.12
candidate elimination	TechTool	0.87	0.00	0.10	0.03
routine counting	TechTool	0.87	0.00	0.09	0.04
kappa statistic	DSMMM	0.05	0.00	0.01	0.93
constraint compilation	TechTool	0.96	0.00	0.03	0.01
sectioning information	other	0.03	0.01	0.96	0.01
japanese-to-english translation	TechTool	0.89	0.09	0.00	0.01
left-context checking	TechTool	0.80	0.00	0.15	0.05
news corpus	Linguistics	0.00	1.00	0.00	0.00
generation model	TechTool	0.77	0.00	0.00	0.23
gene normalization	TechTool	0.93	0.00	0.04	0.03
similarity function	DSMMM	0.01	0.00	0.02	0.96
event calculus	TechTool	0.75	0.18	0.07	0.00
em training	TechTool	0.98	0.00	0.01	0.00
commentary understanding	TechTool	0.88	0.02	0.09	0.01
rating system	TechTool	0.95	0.00	0.00	0.04
cue phrase information	Linguistics	0.01	0.68	0.28	0.03
ranking candidate	DSMMM	0.37	0.00	0.04	0.60
dependency grammar	DSMMM	0.31	0.26	0.00	0.42
cnn segmentation performance	DSMMM	0.02	0.07	0.03	0.87
perplexity measure	DSMMM	0.00	0.00	0.00	1.00
bagging	TechTool	0.64	0.15	0.09	0.11
computational linguistics evaluation	DSMMM	0.12	0.06	0.05	0.77
entropy-minimization approach	TechTool	0.99	0.00	0.00	0.01
loopy belief propogation	TechTool	0.54	0.00	0.39	0.07
compound noun segmentation	Linguistics	0.40	0.60	0.00	0.00
cross-validation methodology	TechTool	0.84	0.08	0.07	0.02
anaphora generation	TechTool	0.96	0.00	0.04	0.00
unsupervised relation extraction	TechTool	0.99	0.00	0.00	0.00
Mt	TechTool	0.62	0.15	0.13	0.10
model adaptation	TechTool	0.89	0.00	0.00	0.11
kl-one representation language	TechTool	0.52	0.47	0.00	0.01
combinatorial lexicology	TechTool	0.54	0.22	0.22	0.02
project-and-integrate learning	TechTool	0.77	0.00	0.22	0.00
relational notation	TechTool	0.91	0.00	0.01	0.08
scope-ambiguity	other	0.25	0.00	0.75	0.01
web page	Linguistics	0.00	0.52	0.14	0.33
psm adaptation	TechTool	0.97	0.00	0.02	0.01
frame instantiafion \	TechTool	0.51	0.49	0.00	0.00
protein information resource	other	0.02	0.06	0.90	0.02
atn grammar	TechTool	0.98	0.01	0.00	0.01
risk minimization principle	TechTool	0.70	0.00	0.02	0.27
tableaux system	TechTool	0.97	0.02	0.00	0.01
phrase identification	TechTool	0.99	0.00	0.00	0.00
unification morphology	TechTool	0.98	0.01	0.01	0.00
planning dialogues	TechTool	0.69	0.29	0.02	0.00
sense resolution	TechTool	0.94	0.05	0.01	0.00
japanese dependency	Linguistics	0.12	0.74	0.06	0.08
semantic lexicon	Linguistics	0.01	0.95	0.01	0.03
crfs	TechTool	0.69	0.06	0.07	0.17
real-time signal processing	TechTool	0.85	0.00	0.13	0.01
generative lexicalized statistical parsing model	DSMMM	0.23	0.01	0.01	0.75
text ellipsis	other	0.35	0.06	0.59	0.00
memory space	other	0.02	0.00	0.52	0.46
sentence compression	TechTool	0.52	0.00	0.01	0.47
multex	TechTool	0.69	0.06	0.07	0.17
verb class disambiguation	TechTool	0.56	0.43	0.01	0.00
sentence processing mechanism	TechTool	0.96	0.00	0.02	0.03
hpsg parsing	TechTool	0.99	0.00	0.01	0.00
text grammar	Linguistics	0.33	0.62	0.03	0.02
segmenter\/tokenizer	TechTool	0.97	0.02	0.01	0.00
hmm recognition system	TechTool	1.00	0.00	0.00	0.00
tree-adjoining grammar	TechTool	0.60	0.36	0.00	0.03
generation lexicon	TechTool	0.69	0.30	0.00	0.00
rule construction	TechTool	0.89	0.00	0.11	0.00
supervised alignment combination	TechTool	1.00	0.00	0.00	0.00
concept hierarchy	DSMMM	0.05	0.30	0.02	0.62
word lemmata	Linguistics	0.01	0.85	0.10	0.05
conventional sense	TechTool	0.82	0.06	0.11	0.00
sociolinguistics	TechTool	0.66	0.13	0.12	0.10
solution synthesis	TechTool	0.80	0.00	0.19	0.00
skeleton binarization	TechTool	0.88	0.04	0.06	0.01
tile similarity	DSMMM	0.02	0.00	0.03	0.94
english cs-case-parser	TechTool	0.94	0.05	0.00	0.00
context assignment	TechTool	0.66	0.00	0.33	0.01
sentence-structure analysis	TechTool	0.89	0.01	0.01	0.09
structuring	TechTool	0.56	0.17	0.18	0.09
kanji information dictionary	Linguistics	0.02	0.88	0.09	0.00
synt-tag	TechTool	0.66	0.32	0.02	0.00
word-trigram recognition	TechTool	0.88	0.02	0.00	0.09
grammar coverage	DSMMM	0.00	0.19	0.00	0.80
minimal acyclic finite state automaton	TechTool	0.81	0.01	0.17	0.00
phone recognition	TechTool	0.97	0.00	0.01	0.02
structurally-induced aggregation	TechTool	0.76	0.00	0.21	0.02
morpho-syntactic tagging	TechTool	0.91	0.03	0.06	0.01
genitive marker	Linguistics	0.46	0.54	0.00	0.00
bionlp	TechTool	0.72	0.05	0.11	0.12
k-medoids method	TechTool	0.96	0.01	0.02	0.01
meeting context	other	0.15	0.10	0.75	0.00
lexically distributed grammar	DSMMM	0.35	0.15	0.10	0.40
data translation	Linguistics	0.25	0.45	0.20	0.10
information content induction	other	0.47	0.00	0.53	0.00
exact match	DSMMM	0.46	0.00	0.04	0.51
lexical rule application	TechTool	0.70	0.00	0.30	0.00
accuracy calculation	DSMMM	0.01	0.00	0.00	0.99
learned qualia	other	0.42	0.00	0.55	0.04
terminal substring parse	Linguistics	0.25	0.63	0.03	0.10
system training and development	TechTool	0.65	0.00	0.34	0.00
node projection	DSMMM	0.15	0.01	0.04	0.80
biomedical text	Linguistics	0.00	0.59	0.41	0.00
internet	TechTool	0.59	0.14	0.12	0.14
addressee identification	TechTool	0.77	0.00	0.23	0.00
text-level anaphora	other	0.30	0.28	0.42	0.01
headcorner parsing	TechTool	0.73	0.07	0.09	0.10
exponential time	DSMMM	0.02	0.00	0.05	0.93
human-annotated corpora	Linguistics	0.05	0.94	0.00	0.01
context-free parser	TechTool	0.98	0.00	0.01	0.00
prosodic phrasing	other	0.33	0.00	0.65	0.03
word recognition model	DSMMM	0.10	0.01	0.00	0.89
constraint agent	TechTool	0.96	0.02	0.01	0.01
semantic text processing	TechTool	0.92	0.00	0.07	0.00
question answering applications	TechTool	0.66	0.00	0.33	0.00
word resolution	TechTool	0.87	0.12	0.00	0.01
document pre-processing	TechTool	0.92	0.04	0.03	0.01
linear interpolation	TechTool	0.99	0.00	0.00	0.01
emotion	other	0.25	0.17	0.33	0.24
document-level classification	TechTool	0.95	0.01	0.02	0.02
break prediction	TechTool	0.64	0.00	0.00	0.36
grammar engineering	TechTool	0.94	0.05	0.00	0.00
tableaux	TechTool	0.36	0.23	0.21	0.20
ie evaluation	TechTool	0.87	0.00	0.06	0.07
japanese-english translation task	TechTool	0.62	0.03	0.33	0.02
